,Value
Total Return,0.08466582394002309
Annualized Return,0.43496597051421637
Volatility,0.12796862918852522
Sharpe Ratio,2.8241299183232154
Max Drawdown,-0.024914508289954007
Win Rate,0.5862068965517241
