,long,short,long_short
2024-10-07,-0.01853651994822387,-0.011045968796111456,-0.007490551152112413
2024-10-08,0.01078700481597981,-0.02388423437545309,0.034671239191432904
2024-10-09,-0.005548508857844049,-0.0049818296646123635,-0.0005666791932316855
2024-10-10,-0.010623203695619175,-0.01548995986954634,0.004866756173927166
2024-10-11,0.024982419146105942,0.03432585768246963,-0.009343438536363689
2024-10-14,0.00607680993797515,-0.0007802853591565345,0.006857095297131684
2024-10-15,-0.012345278992804621,0.012514507272847641,-0.024859786265652262
2024-10-16,0.010369254254410088,0.01815154309767432,-0.007782288843264231
2024-10-17,-0.009141989219445125,-0.012932426509734862,0.0037904372902897374
2024-10-18,0.018070228105740153,0.00402492386923159,0.014045304236508564
2024-10-21,-0.00902640925542382,0.008352115041785875,-0.017378524297209694
2024-10-22,-0.008141635354246685,-0.006831819612179935,-0.0013098157420667507
2024-10-23,-0.016676915945248064,-0.021370260259431093,0.004693344314183029
2024-10-24,0.00474265502427914,0.006179922437952614,-0.0014372674136734747
2024-10-25,0.00273836001239669,-0.004273214472085647,0.007011574484482337
2024-10-28,0.024876399009901847,0.04976550788684614,-0.02488910887694429
2024-10-29,-1.3936018270369359e-05,-0.0157708639888058,0.01575692797053543
2024-10-30,-0.010277766338394495,0.004745983481202877,-0.015023749819597372
2024-10-31,-0.017944757687427215,-0.01656606439333644,-0.0013786932940907728
2024-11-01,0.010996477719680053,0.017001407953762423,-0.00600493023408237
2024-11-04,0.011308605441645237,-0.0016032529468513056,0.012911858388496542
2024-11-05,0.018260142659670985,0.0162629677962701,0.001997174863400883
2024-11-06,0.00883499309301832,-0.001998414396496906,0.010833407489515227
2024-11-07,0.008285604235134561,-0.022424367304464538,0.030709971539599097
2024-11-08,0.0060515346933482745,-0.008693534650101111,0.014745069343449387
2024-11-11,0.007119275123992311,0.013207614857166889,-0.006088339733174578
2024-11-12,-0.03913882023802528,0.004384621128271018,-0.043523441366296295
2024-11-13,-0.014089593568054726,-0.00350546930969982,-0.010584124258354905
2024-11-14,0.01175927377075674,-0.015897656743991025,0.027656930514747765
2024-11-15,-0.03009046070268795,-0.016035693755228668,-0.014054766947459281
2024-11-18,0.00872617707005609,0.006934367252078121,0.0017918098179779685
2024-11-19,0.007371452811925745,-0.0023182923441404145,0.00968974515606616
2024-11-20,0.01679155149595744,0.00815344406135389,0.00863810743460355
2024-11-21,0.010994445640924368,0.012684169942303147,-0.0016897243013787797
2024-11-22,0.0032963678515641843,0.02317570589180148,-0.019879338040237296
2024-11-25,0.02014440281396085,7.977147681234587e-06,0.020136425666279614
2024-11-26,-0.0030728413133589635,0.018342881901395797,-0.02141572321475476
2024-11-27,0.009622540767660524,-0.0005013603592600613,0.010123901126920586
2024-11-29,0.01852606860161038,0.006656797638334366,0.011869270963276012
2024-12-02,0.0067458803331199415,0.018735752413981035,-0.011989872080861094
2024-12-03,-0.011693721900428684,-0.004606385990894395,-0.007087335909534288
2024-12-04,-0.012644396492334906,0.019255181700471295,-0.0318995781928062
2024-12-05,-0.0044229654227957915,-0.010197257834319112,0.00577429241152332
2024-12-06,0.014969836825144665,-0.011423963209044406,0.02639380003418907
2024-12-09,0.00042683539277409507,0.00630653145016024,-0.005879696057386145
2024-12-10,-0.0056454450922779455,-0.008091097732781835,0.00244565264050389
2024-12-11,0.016328825046164862,0.03128464323667203,-0.014955818190507168
2024-12-12,-0.013825023541858827,-0.014432581869329534,0.0006075583274707062
2024-12-13,-0.0035590142449776463,-0.01009050741898349,0.006531493174005844
2024-12-16,0.013382338648674932,0.010937192978701285,0.002445145669973647
2024-12-17,0.0009347965072020393,0.016049008498309616,-0.015114211991107577
2024-12-18,-0.03120782807701313,-0.04298156515288197,0.011773737075868842
2024-12-19,-0.008323536076851353,0.007185856340350204,-0.015509392417201557
2024-12-20,0.028430194013072847,0.013119860753183854,0.015310333259888993
2024-12-23,0.0014096745989381054,0.011591517925648942,-0.010181843326710837
2024-12-24,0.014199207983554559,0.028130433795091152,-0.013931225811536593
2024-12-26,0.017363903080279318,0.01065229575090616,0.006711607329373159
2024-12-27,0.0012321768188089566,0.04007069696569318,-0.03883852014688422
2024-12-30,-0.008532437063820241,0.0199079356861476,-0.02844037274996784
